census region,air conditioning type,housing types,technology,year,value
66,63,28,42,2009,0.958432398036
66,63,28,44,2009,0.0295599608375
66,63,28,45,2009,0.012007641127
66,63,28,72,2009,0.0
66,63,28,73,2009,0.0
66,63,29,42,2009,0.929932215819
66,63,29,44,2009,0.059394877203
66,63,29,45,2009,0.0
66,63,29,72,2009,0.0106729069775
66,63,29,73,2009,0.0
66,63,30,42,2009,0.992867051901
66,63,30,44,2009,0.0
66,63,30,45,2009,0.0
66,63,30,72,2009,0.00713294809881
66,63,30,73,2009,0.0
66,64,28,42,2009,0.0
66,64,28,44,2009,0.0
66,64,28,45,2009,0.0
66,64,28,72,2009,0.0
66,64,28,73,2009,1.0
66,64,29,42,2009,0.0
66,64,29,44,2009,0.0
66,64,29,45,2009,0.0
66,64,29,72,2009,0.0
66,64,29,73,2009,1.0
66,64,30,42,2009,0.0
66,64,30,44,2009,0.0
66,64,30,45,2009,0.0
66,64,30,72,2009,0.0
66,64,30,73,2009,1.0
67,63,28,42,2009,0.95669986879
67,63,28,44,2009,0.0211869130565
67,63,28,45,2009,0.0106512550212
67,63,28,72,2009,0.011461963132
67,63,28,73,2009,0.0
67,63,29,42,2009,0.85735080759
67,63,29,44,2009,0.010979793032
67,63,29,45,2009,0.0
67,63,29,72,2009,0.131669399378
67,63,29,73,2009,0.0
67,63,30,42,2009,0.993685121586
67,63,30,44,2009,0.00631487841446
67,63,30,45,2009,0.0
67,63,30,72,2009,0.0
67,63,30,73,2009,0.0
67,64,28,42,2009,0.0
67,64,28,44,2009,0.0
67,64,28,45,2009,0.0
67,64,28,72,2009,0.0
67,64,28,73,2009,1.0
67,64,29,42,2009,0.0
67,64,29,44,2009,0.0
67,64,29,45,2009,0.0
67,64,29,72,2009,0.0
67,64,29,73,2009,1.0
67,64,30,42,2009,0.0
67,64,30,44,2009,0.0
67,64,30,45,2009,0.0
67,64,30,72,2009,0.0
67,64,30,73,2009,1.0
68,63,28,42,2009,0.750578621616
68,63,28,44,2009,0.20644336968
68,63,28,45,2009,0.00760313992728
68,63,28,72,2009,0.0353748687766
68,63,28,73,2009,0.0
68,63,29,42,2009,0.836918763104
68,63,29,44,2009,0.123530767933
68,63,29,45,2009,0.0
68,63,29,72,2009,0.0395504689633
68,63,29,73,2009,0.0
68,63,30,42,2009,0.743116817749
68,63,30,44,2009,0.256883182251
68,63,30,45,2009,0.0
68,63,30,72,2009,0.0
68,63,30,73,2009,0.0
68,64,28,42,2009,0.0
68,64,28,44,2009,0.0
68,64,28,45,2009,0.0
68,64,28,72,2009,0.0
68,64,28,73,2009,1.0
68,64,29,42,2009,0.0
68,64,29,44,2009,0.0
68,64,29,45,2009,0.0
68,64,29,72,2009,0.0
68,64,29,73,2009,1.0
68,64,30,42,2009,0.0
68,64,30,44,2009,0.0
68,64,30,45,2009,0.0
68,64,30,72,2009,0.0
68,64,30,73,2009,1.0
69,63,28,42,2009,0.880039178381
69,63,28,44,2009,0.0933111289286
69,63,28,45,2009,0.00546198486791
69,63,28,72,2009,0.0211877078222
69,63,28,73,2009,0.0
69,63,29,42,2009,0.915211733485
69,63,29,44,2009,0.0548245826581
69,63,29,45,2009,0.0
69,63,29,72,2009,0.0299636838573
69,63,29,73,2009,0.0
69,63,30,42,2009,0.705091461456
69,63,30,44,2009,0.294908538544
69,63,30,45,2009,0.0
69,63,30,72,2009,0.0
69,63,30,73,2009,0.0
69,64,28,42,2009,0.0
69,64,28,44,2009,0.0
69,64,28,45,2009,0.0
69,64,28,72,2009,0.0
69,64,28,73,2009,1.0
69,64,29,42,2009,0.0
69,64,29,44,2009,0.0
69,64,29,45,2009,0.0
69,64,29,72,2009,0.0
69,64,29,73,2009,1.0
69,64,30,42,2009,0.0
69,64,30,44,2009,0.0
69,64,30,45,2009,0.0
69,64,30,72,2009,0.0
69,64,30,73,2009,1.0
