census region,air conditioning type,technology,housing types,vintage,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,63,42,28,2000,18496010.1604,18496010.1604,18496010.1604,18496010.1604,18496010.1604,18496010.1604,18496010.1604,18496010.1604,18496010.1604,18496010.1604,18496010.1604,18496010.1604,18496010.1604,18496010.1604,0.0,0.0,0.0
66,63,42,28,2001,0.0,570453.729559,570453.729559,570453.729559,570453.729559,570453.729559,570453.729559,570453.729559,570453.729559,570453.729559,570453.729559,570453.729559,570453.729559,570453.729559,570453.729559,0.0,0.0
66,63,42,28,2002,0.0,0.0,231911.039508,231911.039508,231911.039508,231911.039508,231911.039508,231911.039508,231911.039508,231911.039508,231911.039508,231911.039508,231911.039508,231911.039508,231911.039508,231911.039508,0.0
66,63,42,28,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,63,42,28,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,63,42,28,2005,0.0,0.0,0.0,0.0,0.0,18496010.1604,18496010.1604,18496010.1604,18496010.1604,18496010.1604,18496010.1604,18496010.1604,18496010.1604,18496010.1604,18496010.1604,18496010.1604,18496010.1604
66,63,42,28,2006,0.0,0.0,0.0,0.0,0.0,0.0,570453.729559,570453.729559,570453.729559,570453.729559,570453.729559,570453.729559,570453.729559,570453.729559,570453.729559,570453.729559,570453.729559
66,63,42,28,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231911.039502,231911.039502,231911.039502,231911.039502,231911.039502,231911.039502,231911.039502,231911.039502,231911.039502,231911.039502
66,63,42,28,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,63,42,28,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,63,42,28,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18496015.5823,18496015.5823,18496015.5823,18496015.5823,18496015.5823,18496015.5823,18496015.5823
66,63,42,28,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570453.896782,570453.896782,570453.896782,570453.896782,570453.896782,570453.896782
66,63,42,28,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231914.65975,231914.65975,231914.65975,231914.65975,231914.65975
66,63,42,28,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,63,42,28,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,63,42,28,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18496135.8615,18496135.8615
66,63,42,28,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570457.606433
66,63,42,29,2000,3834856.01249,3834856.01249,3834856.01249,3834856.01249,3834856.01249,3834856.01249,3834856.01249,3834856.01249,3834856.01249,3834856.01249,3834856.01249,3834856.01249,3834856.01249,3834856.01249,0.0,0.0,0.0
66,63,42,29,2001,0.0,244932.693027,244932.693027,244932.693027,244932.693027,244932.693027,244932.693027,244932.693027,244932.693027,244932.693027,244932.693027,244932.693027,244932.693027,244932.693027,244932.693027,0.0,0.0
66,63,42,29,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,63,42,29,2003,0.0,0.0,0.0,39504.1932488,39504.1932488,39504.1932488,39504.1932488,39504.1932488,39504.1932488,39504.1932488,39504.1932488,39504.1932488,39504.1932488,39504.1932488,39504.1932488,39504.1932488,39504.1932488
66,63,42,29,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,63,42,29,2005,0.0,0.0,0.0,0.0,0.0,3837374.76443,3837374.76443,3837374.76443,3837374.76443,3837374.76443,3837374.76443,3837374.76443,3837374.76443,3837374.76443,3837374.76443,3837374.76443,3837374.76443
66,63,42,29,2006,0.0,0.0,0.0,0.0,0.0,0.0,245093.566002,245093.566002,245093.566002,245093.566002,245093.566002,245093.566002,245093.566002,245093.566002,245093.566002,245093.566002,245093.566002
66,63,42,29,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,63,42,29,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39504.1962953,39504.1962953,39504.1962953,39504.1962953,39504.1962953,39504.1962953,39504.1962953,39504.1962953,39504.1962953
66,63,42,29,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,63,42,29,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3837375.65559,3837375.65559,3837375.65559,3837375.65559,3837375.65559,3837375.65559,3837375.65559
66,63,42,29,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245093.622921,245093.622921,245093.622921,245093.622921,245093.622921,245093.622921
66,63,42,29,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,63,42,29,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39504.2875811,39504.2875811,39504.2875811,39504.2875811
66,63,42,29,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,63,42,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3837399.3156,3837399.3156
66,63,42,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245095.134088
66,63,42,30,2000,1011131.57816,1011131.57816,1011131.57816,1011131.57816,1011131.57816,1011131.57816,1011131.57816,1011131.57816,1011131.57816,1011131.57816,1011131.57816,1011131.57816,1011131.57816,1011131.57816,0.0,0.0,0.0
66,63,42,30,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,63,42,30,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,63,42,30,2003,0.0,0.0,0.0,6518.61374246,6518.61374246,6518.61374246,6518.61374246,6518.61374246,6518.61374246,6518.61374246,6518.61374246,6518.61374246,6518.61374246,6518.61374246,6518.61374246,6518.61374246,6518.61374246
66,63,42,30,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,63,42,30,2005,0.0,0.0,0.0,0.0,0.0,1011573.87223,1011573.87223,1011573.87223,1011573.87223,1011573.87223,1011573.87223,1011573.87223,1011573.87223,1011573.87223,1011573.87223,1011573.87223,1011573.87223
66,63,42,30,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,63,42,30,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,63,42,30,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6518.61424688,6518.61424688,6518.61424688,6518.61424688,6518.61424688,6518.61424688,6518.61424688,6518.61424688,6518.61424688
