census region,housing types,vintage,value
66,28,2000,0.012131802387
66,28,2001,0.012131802387
66,28,2002,0.012131802387
66,28,2003,0.012131802387
66,28,2004,0.012131802387
66,28,2005,0.012131802387
66,28,2006,0.012131802387
66,28,2007,0.012131802387
66,28,2008,0.012131802387
66,28,2009,0.0224440855613
66,28,2010,0.0258896029733
66,28,2011,0.0293351203854
66,28,2012,0.0327806377974
66,28,2013,0.0255391728572
66,28,2014,0.0255391728572
66,28,2015,0.0255391728572
66,28,2016,0.0255391728572
66,29,2000,0.0
66,29,2001,0.0
66,29,2002,0.0
66,29,2003,0.0
66,29,2004,0.0
66,29,2005,0.0
66,29,2006,0.0
66,29,2007,0.0
66,29,2008,0.0
66,29,2009,0.0
66,29,2010,0.0
66,29,2011,0.0
66,29,2012,0.0
66,29,2013,0.0
66,29,2014,0.0
66,29,2015,0.0
66,29,2016,0.0
66,30,2000,0.0
66,30,2001,0.0
66,30,2002,0.0
66,30,2003,0.0
66,30,2004,0.0
66,30,2005,0.0
66,30,2006,0.0
66,30,2007,0.0
66,30,2008,0.0
66,30,2009,0.0
66,30,2010,0.0
66,30,2011,0.0
66,30,2012,0.0
66,30,2013,0.0
66,30,2014,0.0
66,30,2015,0.0
66,30,2016,0.0
67,28,2000,0.0
67,28,2001,0.0
67,28,2002,0.0
67,28,2003,0.0
67,28,2004,0.0
67,28,2005,0.0
67,28,2006,0.0
67,28,2007,0.0
67,28,2008,0.0
67,28,2009,0.0
67,28,2010,0.0
67,28,2011,0.0
67,28,2012,0.0
67,28,2013,0.0
67,28,2014,0.0
67,28,2015,0.0
67,28,2016,0.0
67,29,2000,0.0
67,29,2001,0.0
67,29,2002,0.0
67,29,2003,0.0
67,29,2004,0.0
67,29,2005,0.0
67,29,2006,0.0
67,29,2007,0.0
67,29,2008,0.0
67,29,2009,0.0
67,29,2010,0.0
67,29,2011,0.0
67,29,2012,0.0
67,29,2013,0.0
67,29,2014,0.0
67,29,2015,0.0
67,29,2016,0.0
67,30,2000,0.0
67,30,2001,0.0
67,30,2002,0.0
67,30,2003,0.0
67,30,2004,0.0
67,30,2005,0.0
67,30,2006,0.0
67,30,2007,0.0
67,30,2008,0.0
67,30,2009,0.0
67,30,2010,0.0
67,30,2011,0.0
67,30,2012,0.0
67,30,2013,0.0
67,30,2014,0.0
67,30,2015,0.0
67,30,2016,0.0
68,28,2000,0.0
68,28,2001,0.0
68,28,2002,0.0
68,28,2003,0.0
68,28,2004,0.0
68,28,2005,0.0
68,28,2006,0.0
68,28,2007,0.0
68,28,2008,0.0
68,28,2009,3.82003320604e-05
68,28,2010,2.86502490453e-05
68,28,2011,1.91001660302e-05
68,28,2012,9.55008301511e-06
68,28,2013,0.0
68,28,2014,0.0
68,28,2015,0.0
68,28,2016,0.0
68,29,2000,0.0
68,29,2001,0.0
68,29,2002,0.0
68,29,2003,0.0
68,29,2004,0.0
68,29,2005,0.0
68,29,2006,0.0
68,29,2007,0.0
68,29,2008,0.0
68,29,2009,0.0
68,29,2010,0.0
68,29,2011,0.0
68,29,2012,0.0
68,29,2013,0.0
68,29,2014,0.0
68,29,2015,0.0
68,29,2016,0.0
68,30,2000,0.0
68,30,2001,0.0
68,30,2002,0.0
68,30,2003,0.0
68,30,2004,0.0
68,30,2005,0.0
68,30,2006,0.0
68,30,2007,0.0
68,30,2008,0.0
68,30,2009,0.0
68,30,2010,0.0
68,30,2011,0.0
68,30,2012,0.0
68,30,2013,0.0
68,30,2014,0.0
68,30,2015,0.0
68,30,2016,0.0
69,28,2000,0.0
69,28,2001,0.0
69,28,2002,0.0
69,28,2003,0.0
69,28,2004,0.0
69,28,2005,0.0
69,28,2006,0.0
69,28,2007,0.0
69,28,2008,0.0
69,28,2009,0.0
69,28,2010,0.0
69,28,2011,0.0
69,28,2012,0.0
69,28,2013,0.0
69,28,2014,0.0
69,28,2015,0.0
69,28,2016,0.0
69,29,2000,0.0
69,29,2001,0.0
69,29,2002,0.0
69,29,2003,0.0
69,29,2004,0.0
69,29,2005,0.0
69,29,2006,0.0
69,29,2007,0.0
69,29,2008,0.0
69,29,2009,0.0
69,29,2010,0.0
69,29,2011,0.0
69,29,2012,0.0
69,29,2013,0.0
69,29,2014,0.0
69,29,2015,0.0
69,29,2016,0.0
69,30,2000,0.0
69,30,2001,0.0
69,30,2002,0.0
69,30,2003,0.0
69,30,2004,0.0
69,30,2005,0.0
69,30,2006,0.0
69,30,2007,0.0
69,30,2008,0.0
69,30,2009,0.0
69,30,2010,0.0
69,30,2011,0.0
69,30,2012,0.0
69,30,2013,0.0
69,30,2014,0.0
69,30,2015,0.0
69,30,2016,0.0
