census region,housing types,technology,vintage,2009,2010,2011,2012,2013,2014,2015,2016
66,28,29,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,29,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,29,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,29,2012,0.0,0.0,0.0,5487567.06867,5487567.06867,5487567.06867,5487567.06867,5487567.06867
66,28,29,2013,0.0,0.0,0.0,0.0,22182.7265675,22182.7265675,22182.7265675,22182.7265675
66,28,29,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,31,2009,8344000.49494,8344000.49494,8344000.49494,8344000.49494,8344000.49494,8344000.49494,8344000.49494,8344000.49494
66,28,31,2010,0.0,31585.355755,31585.355755,31585.355755,31585.355755,31585.355755,31585.355755,31585.355755
66,28,31,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,31,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,31,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,31,2014,0.0,0.0,0.0,0.0,0.0,7994250.00344,7994250.00344,7994250.00344
66,28,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,30904.6549755,30904.6549755
66,28,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,33,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,33,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,33,2011,0.0,0.0,5859558.1798,5859558.1798,5859558.1798,5859558.1798,5859558.1798,5859558.1798
66,28,33,2012,0.0,0.0,0.0,22923.0548485,22923.0548485,22923.0548485,22923.0548485,22923.0548485
66,28,33,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,33,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,33,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,33,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5720534.05718
66,28,35,2009,11951.1678864,11951.1678864,11951.1678864,11951.1678864,11951.1678864,11951.1678864,11951.1678864,11951.1678864
66,28,35,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,35,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,35,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,35,2013,0.0,0.0,0.0,0.0,2946211.61415,2946211.61415,2946211.61415,2946211.61415
66,28,35,2014,0.0,0.0,0.0,0.0,0.0,11852.8289347,11852.8289347,11852.8289347
66,28,35,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,35,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,38,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,38,2010,0.0,33641186.265,33641186.265,33641186.265,33641186.265,33641186.265,33641186.265,33641186.265
66,28,38,2011,0.0,0.0,136238.866248,136238.866248,136238.866248,136238.866248,136238.866248,136238.866248
66,28,38,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,38,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,38,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,38,2015,0.0,0.0,0.0,0.0,0.0,0.0,32411899.3513,32411899.3513
66,28,38,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135025.582036
66,29,29,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,29,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,29,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,29,2012,0.0,0.0,0.0,3134889.75644,3134889.75644,3134889.75644,3134889.75644,3134889.75644
66,29,29,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,29,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,31,2009,4752979.78869,4752979.78869,4752979.78869,4752979.78869,4752979.78869,4752979.78869,4752979.78869,4752979.78869
66,29,31,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,31,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,31,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,31,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,31,2014,0.0,0.0,0.0,0.0,0.0,4558352.92903,4558352.92903,4558352.92903
66,29,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,33,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,33,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,33,2011,0.0,0.0,3343663.78443,3343663.78443,3343663.78443,3343663.78443,3343663.78443,3343663.78443
66,29,33,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,33,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,33,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,33,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,33,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3267462.77395
66,29,35,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,35,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,35,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,35,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,35,2013,0.0,0.0,0.0,0.0,1684649.93007,1684649.93007,1684649.93007,1684649.93007
66,29,35,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,35,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,35,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,38,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,38,2010,0.0,19248490.5492,19248490.5492,19248490.5492,19248490.5492,19248490.5492,19248490.5492,19248490.5492
66,29,38,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,38,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,38,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,38,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,38,2015,0.0,0.0,0.0,0.0,0.0,0.0,18572073.9878,18572073.9878
66,29,38,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,29,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,29,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,29,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,29,2012,0.0,0.0,0.0,253876.571873,253876.571873,253876.571873,253876.571873,253876.571873
66,30,29,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,29,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,31,2009,461291.590784,461291.590784,461291.590784,461291.590784,461291.590784,461291.590784,461291.590784,461291.590784
66,30,31,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,31,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,31,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,31,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,31,2014,0.0,0.0,0.0,0.0,0.0,419254.171887,419254.171887,419254.171887
66,30,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,33,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,33,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,33,2011,0.0,0.0,297810.646135,297810.646135,297810.646135,297810.646135,297810.646135,297810.646135
66,30,33,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,33,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,33,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,33,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,33,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280989.22442
66,30,35,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,35,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,35,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,35,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,35,2013,0.0,0.0,0.0,0.0,140294.172677,140294.172677,140294.172677,140294.172677
66,30,35,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,35,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,35,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,38,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,38,2010,0.0,1612443.60785,1612443.60785,1612443.60785,1612443.60785,1612443.60785,1612443.60785,1612443.60785
66,30,38,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,38,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,38,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,38,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,38,2015,0.0,0.0,0.0,0.0,0.0,0.0,1502640.65176,1502640.65176
66,30,38,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,29,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,29,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,29,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,29,2012,0.0,0.0,0.0,8909741.83275,8909741.83275,8909741.83275,8909741.83275,8909741.83275
67,28,29,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,29,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,31,2009,13461529.7227,13461529.7227,13461529.7227,13461529.7227,13461529.7227,13461529.7227,13461529.7227,13461529.7227
67,28,31,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,31,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,31,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,31,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,31,2014,0.0,0.0,0.0,0.0,0.0,13007198.8975,13007198.8975,13007198.8975
67,28,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,33,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,33,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,33,2011,0.0,0.0,9630123.65265,9630123.65265,9630123.65265,9630123.65265,9630123.65265,9630123.65265
67,28,33,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,33,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,33,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,33,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,33,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9494740.08647
67,28,35,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,35,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,35,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,35,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,35,2013,0.0,0.0,0.0,0.0,4917102.20145,4917102.20145,4917102.20145,4917102.20145
67,28,35,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,35,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,35,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,38,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,38,2010,0.0,56138814.5117,56138814.5117,56138814.5117,56138814.5117,56138814.5117,56138814.5117,56138814.5117
67,28,38,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,38,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,38,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,38,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,38,2015,0.0,0.0,0.0,0.0,0.0,0.0,54027084.2781,54027084.2781
67,28,38,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,29,29,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,29,29,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,29,29,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,29,29,2012,0.0,0.0,0.0,2884977.21961,2884977.21961,2884977.21961,2884977.21961,2884977.21961
67,29,29,2013,0.0,0.0,0.0,0.0,155921.901241,155921.901241,155921.901241,155921.901241
67,29,29,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
