census region,housing types,technology,vintage,2009,2010,2011,2012,2013,2014,2015,2016,final_energy
66,28,29,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,29,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,29,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,29,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,29,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,29,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,29,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,31,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,31,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,31,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,31,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,31,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,31,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,31,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,33,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,33,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,33,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,33,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,33,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,33,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,33,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,33,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,33,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,35,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,35,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,35,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,35,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,35,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,35,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,35,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,35,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,35,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,28,38,2008,2803.29729907,2659.53858116,2515.78248854,2372.04093859,2228.34590603,2084.76271907,1941.40547645,1798.45407939,2.0
66,28,38,2009,288.1054812,288.105244879,288.099983564,288.07083877,287.97761377,287.753465255,287.300652726,286.487302155,2.0
66,28,38,2010,0.0,297.907285672,297.90704131,297.901600997,297.871464651,297.775067989,297.543293587,297.075075659,2.0
66,28,38,2011,0.0,0.0,294.587853185,294.587611546,294.582231852,294.5524313,294.457108739,294.227916883,2.0
66,28,38,2012,0.0,0.0,0.0,292.940463718,292.940223431,292.934873821,292.905239919,292.810450419,2.0
66,28,38,2013,0.0,0.0,0.0,0.0,291.416514244,291.416275206,291.410953427,291.381473688,2.0
66,28,38,2014,0.0,0.0,0.0,0.0,0.0,290.317170971,290.316932835,290.311631131,2.0
66,28,38,2015,0.0,0.0,0.0,0.0,0.0,0.0,291.162576493,291.162337663,2.0
66,28,38,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.273165152,2.0
66,29,29,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,29,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,29,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,29,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,29,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,29,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,29,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,31,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,31,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,31,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,31,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,31,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,31,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,31,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,33,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,33,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,33,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,33,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,33,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,33,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,33,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,33,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,33,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,35,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,35,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,35,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,35,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,35,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,35,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,35,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,35,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,35,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,29,38,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
66,29,38,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
66,29,38,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
66,29,38,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
66,29,38,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
66,29,38,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
66,29,38,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
66,29,38,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
66,29,38,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
66,30,29,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,29,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,29,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,29,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,29,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,29,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,29,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,31,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,31,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,31,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,31,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,31,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,31,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,31,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,33,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,33,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,33,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,33,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,33,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,33,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,33,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,33,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,33,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,35,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,35,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,35,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,35,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,35,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,35,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,35,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,35,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,35,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
66,30,38,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
66,30,38,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
66,30,38,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
66,30,38,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
66,30,38,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
66,30,38,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
66,30,38,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
66,30,38,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
66,30,38,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
67,28,29,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
67,28,29,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
67,28,29,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
67,28,29,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
67,28,29,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
67,28,29,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
67,28,29,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
67,28,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
67,28,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
67,28,31,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
67,28,31,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
67,28,31,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
67,28,31,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
67,28,31,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
67,28,31,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
67,28,31,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
67,28,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
67,28,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0
