census region,air conditioning type,technology,housing types,vintage,value
66,63,42,28,2000,3001.12861082
66,63,42,28,2001,92.5607735975
66,63,42,28,2002,2002.51774574
66,63,42,28,2003,0.0
66,63,42,28,2004,0.0
66,63,42,28,2005,51264701.5344
66,63,42,28,2006,1581105.32658
66,63,42,28,2007,644883.128892
66,63,42,28,2008,0.0
66,63,42,28,2009,0.0
66,63,42,28,2010,47544444.3415
66,63,42,28,2011,1475949.2839
66,63,42,28,2012,605918.032263
66,63,42,28,2013,0.0
66,63,42,28,2014,0.0
66,63,42,28,2015,42184573.6364
66,63,42,28,2016,1301056.12789
66,63,42,29,2000,0.0
66,63,42,29,2001,0.0
66,63,42,29,2002,0.0
66,63,42,29,2003,105598.494054
66,63,42,29,2004,0.0
66,63,42,29,2005,10536650.9612
66,63,42,29,2006,672977.104487
66,63,42,29,2007,0.0
66,63,42,29,2008,222634.659068
66,63,42,29,2009,0.0
66,63,42,29,2010,9764129.81816
66,63,42,29,2011,627712.143423
66,63,42,29,2012,0.0
66,63,42,29,2013,219044.478752
66,63,42,29,2014,0.0
66,63,42,29,2015,8649973.19899
66,63,42,29,2016,552474.779584
66,63,42,30,2000,0.0
66,63,42,30,2001,0.0
66,63,42,30,2002,0.0
66,63,42,30,2003,17484.6770147
66,63,42,30,2004,0.0
66,63,42,30,2005,2786257.09968
66,63,42,30,2006,0.0
66,63,42,30,2007,0.0
66,63,42,30,2008,36796.8941543
66,63,42,30,2009,0.0
66,63,42,30,2010,2582668.94094
66,63,42,30,2011,0.0
66,63,42,30,2012,0.0
66,63,42,30,2013,36206.0514915
66,63,42,30,2014,0.0
66,63,42,30,2015,2289135.06821
66,63,42,30,2016,0.0
66,63,44,28,2000,400838.392666
66,63,44,28,2001,0.0
66,63,44,28,2002,0.0
66,63,44,28,2003,19488505.0625
66,63,44,28,2004,601064.245751
66,63,44,28,2005,243153.46309
66,63,44,28,2006,0.0
66,63,44,28,2007,0.0
66,63,44,28,2008,13232830.7825
66,63,44,28,2009,408126.812598
66,63,44,28,2010,163072.486749
66,63,44,28,2011,0.0
66,63,44,28,2012,0.0
66,63,44,28,2013,17944075.8571
66,63,44,28,2014,553430.978219
66,63,44,28,2015,215459.917197
66,63,44,28,2016,0.0
66,63,44,29,2000,0.0
66,63,44,29,2001,154807.239323
66,63,44,29,2002,0.0
66,63,44,29,2003,3965728.40713
66,63,44,29,2004,253291.527872
66,63,44,29,2005,0.0
66,63,44,29,2006,126409.290734
66,63,44,29,2007,0.0
66,63,44,29,2008,2667281.74298
66,63,44,29,2009,170359.590618
66,63,44,29,2010,0.0
66,63,44,29,2011,114403.499986
66,63,44,29,2012,0.0
66,63,44,29,2013,3640652.7255
66,63,44,29,2014,232528.906829
66,63,44,29,2015,0.0
66,63,44,29,2016,126039.265158
66,63,44,30,2000,0.0
66,63,44,30,2001,25591.2778782
66,63,44,30,2002,0.0
66,63,44,30,2003,1052144.12736
66,63,44,30,2004,0.0
66,63,44,30,2005,0.0
66,63,44,30,2006,20905.3324976
66,63,44,30,2007,0.0
66,63,44,30,2008,709851.961239
66,63,44,30,2009,0.0
66,63,44,30,2010,0.0
66,63,44,30,2011,18925.2715498
66,63,44,30,2012,0.0
66,63,44,30,2013,966711.343105
66,63,44,30,2014,0.0
66,63,44,30,2015,0.0
66,63,44,30,2016,20846.3376975
66,63,45,28,2000,0.0
66,63,45,28,2001,51853518.8494
66,63,45,28,2002,1599265.62334
66,63,45,28,2003,620738.164802
66,63,45,28,2004,0.0
66,63,45,28,2005,0.0
66,63,45,28,2006,54862907.5303
66,63,45,28,2007,1692081.15392
66,63,45,28,2008,647545.836449
66,63,45,28,2009,0.0
66,63,45,28,2010,0.0
66,63,45,28,2011,55910566.8615
66,63,45,28,2012,1551953.74571
66,63,45,28,2013,527740.048302
66,63,45,28,2014,0.0
66,63,45,28,2015,0.0
66,63,45,28,2016,38012424.0204
66,63,45,29,2000,0.0
66,63,45,29,2001,10596237.8474
66,63,45,29,2002,676782.925738
66,63,45,29,2003,0.0
66,63,45,29,2004,283565.024844
66,63,45,29,2005,0.0
66,63,45,29,2006,11219788.0784
66,63,45,29,2007,716609.150457
66,63,45,29,2008,0.0
66,63,45,29,2009,288958.871539
66,63,45,29,2010,0.0
66,63,45,29,2011,11464651.9408
66,63,45,29,2012,659023.770069
66,63,45,29,2013,0.0
66,63,45,29,2014,209587.282092
66,63,45,29,2015,0.0
66,63,45,29,2016,7780050.74661
66,63,45,30,2000,0.0
66,63,45,30,2001,2806868.25729
66,63,45,30,2002,0.0
66,63,45,30,2003,0.0
66,63,45,30,2004,46886.0150928
66,63,45,30,2005,0.0
66,63,45,30,2006,2971122.64523
66,63,45,30,2007,0.0
66,63,45,30,2008,0.0
66,63,45,30,2009,47776.0467043
66,63,45,30,2010,0.0
66,63,45,30,2011,3033256.63612
66,63,45,30,2012,0.0
66,63,45,30,2013,0.0
66,63,45,30,2014,34647.1088802
66,63,45,30,2015,0.0
66,63,45,30,2016,2059527.85678
66,63,72,28,2000,3224041.52982
66,63,72,28,2001,1208975.4591
66,63,72,28,2002,0.0
66,63,72,28,2003,0.0
66,63,72,28,2004,70772411.7011
