census region,housing types,technology,vintage,2009,2010,2011,2012,2013,2014,2015,2016
66,28,29,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,29,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,29,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,29,2012,0.0,0.0,0.0,5801958.93198,5801958.93198,5801958.93198,5801958.93198,5801958.93198
66,28,29,2013,0.0,0.0,0.0,0.0,23569.146978,23569.146978,23569.146978,23569.146978
66,28,29,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,31,2009,17339876.0285,17339876.0285,17339876.0285,17339876.0285,17339876.0285,17339876.0285,17339876.0285,17339876.0285
66,28,31,2010,0.0,67612.4021631,67612.4021631,67612.4021631,67612.4021631,67612.4021631,67612.4021631,67612.4021631
66,28,31,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,31,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,31,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,31,2014,0.0,0.0,0.0,0.0,0.0,18611613.2893,18611613.2893,18611613.2893
66,28,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,71949.8998648,71949.8998648
66,28,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,33,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,33,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,33,2011,0.0,0.0,6378373.22697,6378373.22697,6378373.22697,6378373.22697,6378373.22697,6378373.22697
66,28,33,2012,0.0,0.0,0.0,25012.3957853,25012.3957853,25012.3957853,25012.3957853,25012.3957853
66,28,33,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,33,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,33,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,33,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6256834.12504
66,28,35,2009,10083.7979042,10083.7979042,10083.7979042,10083.7979042,10083.7979042,10083.7979042,10083.7979042,10083.7979042
66,28,35,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,35,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,35,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,35,2013,0.0,0.0,0.0,0.0,2670004.27533,2670004.27533,2670004.27533,2670004.27533
66,28,35,2014,0.0,0.0,0.0,0.0,0.0,10741.6262221,10741.6262221,10741.6262221
66,28,35,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,35,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,38,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,38,2010,0.0,31423086.0717,31423086.0717,31423086.0717,31423086.0717,31423086.0717,31423086.0717,31423086.0717
66,28,38,2011,0.0,0.0,127256.083858,127256.083858,127256.083858,127256.083858,127256.083858,127256.083858
66,28,38,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,38,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,38,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,38,2015,0.0,0.0,0.0,0.0,0.0,0.0,30274851.0425,30274851.0425
66,28,38,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126122.796407
66,29,29,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,29,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,29,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,29,2012,0.0,0.0,0.0,3314492.8154,3314492.8154,3314492.8154,3314492.8154,3314492.8154
66,29,29,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,29,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,31,2009,9877286.12337,9877286.12337,9877286.12337,9877286.12337,9877286.12337,9877286.12337,9877286.12337,9877286.12337
66,29,31,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,31,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,31,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,31,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,31,2014,0.0,0.0,0.0,0.0,0.0,10612415.4129,10612415.4129,10612415.4129
66,29,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,33,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,33,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,33,2011,0.0,0.0,3639717.34868,3639717.34868,3639717.34868,3639717.34868,3639717.34868,3639717.34868
66,29,33,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,33,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,33,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,33,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,33,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3573787.40901
66,29,35,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,35,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,35,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,35,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,35,2013,0.0,0.0,0.0,0.0,1526713.99912,1526713.99912,1526713.99912,1526713.99912
66,29,35,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,35,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,35,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,38,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,38,2010,0.0,17979359.3042,17979359.3042,17979359.3042,17979359.3042,17979359.3042,17979359.3042,17979359.3042
66,29,38,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,38,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,38,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,38,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,38,2015,0.0,0.0,0.0,0.0,0.0,0.0,17347541.637,17347541.637
66,29,38,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,29,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,29,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,29,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,29,2012,0.0,0.0,0.0,268421.583803,268421.583803,268421.583803,268421.583803,268421.583803
66,30,29,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,29,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,31,2009,958621.587099,958621.587099,958621.587099,958621.587099,958621.587099,958621.587099,958621.587099,958621.587099
66,30,31,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,31,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,31,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,31,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,31,2014,0.0,0.0,0.0,0.0,0.0,976076.118924,976076.118924,976076.118924
66,30,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,33,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,33,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,33,2011,0.0,0.0,324179.297095,324179.297095,324179.297095,324179.297095,324179.297095,324179.297095
66,30,33,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,33,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,33,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,33,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,33,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307331.964209
66,30,35,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,35,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,35,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,35,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,35,2013,0.0,0.0,0.0,0.0,127141.593988,127141.593988,127141.593988,127141.593988
66,30,35,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,35,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,35,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,38,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,38,2010,0.0,1506128.6447,1506128.6447,1506128.6447,1506128.6447,1506128.6447,1506128.6447,1506128.6447
66,30,38,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,38,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,38,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,38,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,38,2015,0.0,0.0,0.0,0.0,0.0,0.0,1403565.44395,1403565.44395
66,30,38,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,29,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,29,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,29,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,29,2012,0.0,0.0,0.0,9420195.79191,9420195.79191,9420195.79191,9420195.79191,9420195.79191
67,28,29,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,29,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,31,2009,27974741.4551,27974741.4551,27974741.4551,27974741.4551,27974741.4551,27974741.4551,27974741.4551,27974741.4551
67,28,31,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,31,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,31,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,31,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,31,2014,0.0,0.0,0.0,0.0,0.0,30282384.9333,30282384.9333,30282384.9333
67,28,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,33,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,33,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,33,2011,0.0,0.0,10482790.8511,10482790.8511,10482790.8511,10482790.8511,10482790.8511,10482790.8511
67,28,33,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,33,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,33,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,33,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,33,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10384871.9696
67,28,35,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,35,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,35,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,35,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,35,2013,0.0,0.0,0.0,0.0,4456123.87007,4456123.87007,4456123.87007,4456123.87007
67,28,35,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,35,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,35,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,38,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,38,2010,0.0,52437354.2142,52437354.2142,52437354.2142,52437354.2142,52437354.2142,52437354.2142,52437354.2142
67,28,38,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,38,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,38,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,38,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,28,38,2015,0.0,0.0,0.0,0.0,0.0,0.0,50464858.9411,50464858.9411
67,28,38,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,29,29,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,29,29,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,29,29,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,29,29,2012,0.0,0.0,0.0,3050262.37282,3050262.37282,3050262.37282,3050262.37282,3050262.37282
67,29,29,2013,0.0,0.0,0.0,0.0,165667.020068,165667.020068,165667.020068,165667.020068
67,29,29,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
